Edge TPU Compiler version 16.0.384591198
Input: object_int8.lite
Output: object_int8_edgetpu.tflite

Operator                       Count      Status

LOGISTIC                       1          More than one subgraph is not supported
DEPTHWISE_CONV_2D              37         Mapped to Edge TPU
DEPTHWISE_CONV_2D              14         More than one subgraph is not supported
DEQUANTIZE                     2          Operation is working on an unsupported data type
CONV_2D                        58         Mapped to Edge TPU
CONV_2D                        14         More than one subgraph is not supported
CUSTOM                         1          Operation is working on an unsupported data type
ADD                            2          More than one subgraph is not supported
ADD                            10         Mapped to Edge TPU
PACK                           4          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
RESHAPE                        4          More than one subgraph is not supported
RESHAPE                        2          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
RESHAPE                        6          Mapped to Edge TPU
CONCATENATION                  2          More than one subgraph is not supported
